测试11,#genre#
73,http://113.109.250.108:9999/udp/239.77.0.251:5146
74,http://113.109.250.108:9999/udp/239.77.0.253:5146
75,http://113.109.250.108:9999/udp/239.77.0.254:5146
76,http://113.109.250.108:9999/udp/239.77.0.85:5146
77,http://113.109.250.108:9999/udp/239.77.0.87:5146
78,http://113.109.250.108:9999/udp/239.77.1.103:5146
79,http://113.109.250.108:9999/udp/239.77.1.104:5146
80,http://113.109.250.108:9999/udp/239.77.1.109:5146
81,http://113.109.250.108:9999/udp/239.77.1.113:5146
82,http://113.109.250.108:9999/udp/239.77.1.121:5146
83,http://113.109.250.108:9999/udp/239.77.1.128:5146
84,http://113.109.250.108:9999/udp/239.77.1.130:5146
85,http://113.109.250.108:9999/udp/239.77.1.131:5146
86,http://113.109.250.108:9999/udp/239.77.1.132:5146
87,http://113.109.250.108:9999/udp/239.77.1.141:5146
88,http://113.109.250.108:9999/udp/239.77.1.142:5146
89,http://113.109.250.108:9999/udp/239.77.1.158:5146
90,http://113.109.250.108:9999/udp/239.77.1.159:5146
91,http://113.109.250.108:9999/udp/239.77.1.160:5146
92,http://113.109.250.108:9999/udp/239.77.1.161:5146
93,http://113.109.250.108:9999/udp/239.77.1.162:5146
94,http://113.109.250.108:9999/udp/239.77.1.163:5146
95,http://113.109.250.108:9999/udp/239.77.1.17:5146
96,http://113.109.250.108:9999/udp/239.77.1.175:5146
97,http://113.109.250.108:9999/udp/239.77.1.176:5146
98,http://113.109.250.108:9999/udp/239.77.1.177:5146
99,http://113.109.250.108:9999/udp/239.77.1.178:5146
100,http://113.109.250.108:9999/udp/239.77.1.18:5146
101,http://113.109.250.108:9999/udp/239.77.1.19:5146
102,http://113.109.250.108:9999/udp/239.77.1.214:5146
103,http://113.109.250.108:9999/udp/239.77.1.215:5146
104,http://113.109.250.108:9999/udp/239.77.1.218:5146
105,http://113.109.250.108:9999/udp/239.77.1.219:5146
106,http://113.109.250.108:9999/udp/239.77.1.221:5146
107,http://113.109.250.108:9999/udp/239.77.1.223:5146
108,http://113.109.250.108:9999/udp/239.77.1.224:5146
109,http://113.109.250.108:9999/udp/239.77.1.229:5146
110,http://113.109.250.108:9999/udp/239.77.1.232:5146
111,http://113.109.250.108:9999/udp/239.77.1.233:5146
112,http://113.109.250.108:9999/udp/239.77.1.238:5146
113,http://113.109.250.108:9999/udp/239.77.1.239:5146
114,http://113.109.250.108:9999/udp/239.77.1.242:5146
115,http://113.109.250.108:9999/udp/239.77.1.243:5146
116,http://113.109.250.108:9999/udp/239.77.1.244:5146
117,http://113.109.250.108:9999/udp/239.77.1.247:5146
118,http://113.109.250.108:9999/udp/239.77.1.3:5146
119,http://113.109.250.108:9999/udp/239.77.1.33:5146
120,http://113.109.250.108:9999/udp/239.77.1.4:5146
121,http://113.109.250.108:9999/udp/239.77.1.5:5146
122,http://113.109.250.108:9999/udp/239.77.1.6:5146
123,http://113.109.250.108:9999/udp/239.77.1.67:5146
124,http://113.109.250.108:9999/udp/239.77.1.87:5146
125,http://113.109.250.108:9999/udp/239.77.1.92:5146
126,http://113.109.250.108:9999/udp/239.77.1.93:5146


测试电视台,#genre#
869,http://ott-iptv.top/虪齺魕爧蠿齺虪齾爩/bestV1/best2024.php?id=ahwshd
870,http://ott-iptv.top/虪齺魕爧蠿齺虪齾爩/bestV1/best2024.php?id=bjwshd
871,http://ott-iptv.top/虪齺魕爧蠿齺虪齾爩/bestV1/best2024.php?id=cctv10hd
872,http://ott-iptv.top/虪齺魕爧蠿齺虪齾爩/bestV1/best2024.php?id=cctv11hd4m
873,http://ott-iptv.top/虪齺魕爧蠿齺虪齾爩/bestV1/best2024.php?id=cctv12hd4m
874,http://ott-iptv.top/虪齺魕爧蠿齺虪齾爩/bestV1/best2024.php?id=cctv13hd4m
875,http://ott-iptv.top/虪齺魕爧蠿齺虪齾爩/bestV1/best2024.php?id=cctv16hd4m
876,http://ott-iptv.top/虪齺魕爧蠿齺虪齾爩/bestV1/best2024.php?id=cctv17hd4m
877,http://ott-iptv.top/虪齺魕爧蠿齺虪齾爩/bestV1/best2024.php?id=cctv1hd
878,http://ott-iptv.top/虪齺魕爧蠿齺虪齾爩/bestV1/best2024.php?id=cctv2hd8m
879,http://ott-iptv.top/虪齺魕爧蠿齺虪齾爩/bestV1/best2024.php?id=cctv3hd
880,http://ott-iptv.top/虪齺魕爧蠿齺虪齾爩/bestV1/best2024.php?id=cctv4hd4m
